id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>
123	"kosarev, vladislav"	0.2467	0.7234	10	6	6	1
124	"kumar, mukesh"	1.0176	0.2106	45	2	2	1
125	"kumar, upendra"	-0.2628	0.0726	30	4	4	1
126	"labao, alfonso b"	1.0052	0.4212	52	1	1	1
127	"le, hieu"	0.2599	0.6371	10	6	6	1
128	"lefèvre, sébastien"	0.4057	0.9738	37	3	3	1
129	"li, jianyuan"	-0.7204	-0.6416	38	3	3	1
130	"li, shiyu"	0.1854	0.3436	19	5	5	1
131	"li, tengfei"	0.5429	0.114	14	6	6	1
132	"li, xiaofeng"	-0.0393	0.1927	23	5	5	1
133	"li, xiu"	-0.9503	-0.229	16	6	7	2
134	"liang, jian"	-0.956	-0.1646	16	4	4	1
135	"liang, zheng"	0.6196	0.1562	14	6	6	1
136	"liu, aiyue"	-0.0604	0.2248	23	5	5	1
137	"liu, chunna"	-0.6942	-0.6611	38	3	3	1
138	"liu, jintao"	0.8994	-0.0054	6	8	12	2
139	"liu, xiaoyang"	-0.6375	-0.3484	34	3	3	1
140	"liu, xuefeng"	0.5506	0.7399	21	5	5	1
141	"liu, yang"	0.8534	-0.0308	6	8	12	2
142	"liu, yuhai"	-0.0845	0.1952	23	5	5	1
143	"liu, zy-c"	-0.3201	0.715	20	5	5	1
144	"lo, chun-hung"	0.4529	-0.8082	27	4	4	1
145	"lohmann, kenneth j"	0.2913	0.1138	1	6	6	1
146	"lopez-guede, jose manuel"	-0.0024	0.8042	31	3	3	1
147	"lopez-vazquez, vanesa"	-0.0089	0.8362	31	3	3	1
148	"lovall, kristoffer"	-0.7993	0.4718	9	7	7	1
149	"lu, huimin"	0.3732	-0.4492	22	5	5	1
150	"lu, xiaochun"	-0.7144	-0.6875	38	3	3	1
151	"lynch, heather j"	0.2862	0.7059	10	6	6	1
152	"ma, li"	0.6189	0.7597	21	5	5	1
153	"mahmood, ammar"	0.6659	-0.5667	7	7	13	2
154	"mangeas, morgan"	-0.4303	0.3867	4	6	6	1
155	"mantell, sydney a"	0.2628	-0.1131	1	5	5	1
156	"martin, philippe a"	0.003	0.4874	8	7	7	1
157	"martin-abadal, miguel"	-0.4673	0.9216	39	3	3	1
158	"masuma, s"	-0.0065	-0.9164	2	9	9	1
159	"mathur, monika"	0.8507	0.5894	28	4	5	2
160	"maussang, frederic"	0.9671	-0.3941	33	3	3	1
161	"mcdonald, trent l"	-0.0728	-0.526	15	6	6	1
162	"mcilwaine, ben"	-1.1875	0.2481	53	1	1	1
163	"mckown, matthew w"	0.2514	0.0957	1	6	6	1
164	"mian, ajmal"	-0.2617	-0.6902	29	4	4	1
165	"mifsud scicluna, benjamin"	-0.5277	0.645	43	2	2	1
166	"milczek, jan kanty"	-0.8638	0.1612	18	5	5	1
167	"misimi, ekrem"	-0.5051	-0.5711	47	2	2	1
168	"moghimi, mohammad kazem"	-0.7043	-0.9241	54	1	1	1
169	"mohanna, farahnaz"	-0.7126	-0.9072	54	1	1	1
170	"molugu, srikanth"	-0.5767	0.141	13	6	6	1
171	"morey, jeanine s"	-0.1105	-0.5033	15	6	6	1
172	"mouillot, david"	-0.3415	0.4409	4	9	12	2
173	"moussanif, hajar"	0.0003	0.5625	8	7	7	1
174	"mozumder, md ariful islam"	-0.4877	-0.0671	11	6	6	1
175	"mucha, marcin"	-0.8989	0.1447	18	5	5	1
176	"muntaner-gonzalez, caterina"	-0.4467	0.9614	39	3	3	1
177	"muthanna, mohammed saleh ali"	-0.426	-0.1135	11	6	6	1
178	"måløy, håkon"	-0.533	-0.5772	47	2	2	1
179	"nadal-martínez, antonio"	-0.4362	0.9307	39	3	3	1
180	"narayanan, swathi jamjala"	0.1155	-0.3314	17	5	5	1
181	"nasreddine, kamal"	-0.7066	-0.0571	41	2	4	2
182	"naval jr, prospero c"	0.9926	0.4072	52	1	1	1
183	"nayak, gaurav kumar"	0.1125	-0.3758	17	5	5	1
184	"nehls, georg"	0.2187	0.6518	10	6	6	1
185	"nilsson, christian l"	-0.3378	-0.3988	25	4	4	1
186	"obst, matthias"	-0.3925	-0.3914	25	4	4	1
187	"oleson, erin m"	0.5469	-0.2619	3	9	9	1
188	"osman, mohd azam"	-0.194	1.0415	40	2	2	1
